t (s);p(0) (bar); p(L) (bar);v(0) m/s; v(L) (m/s);T(0) (C); T(L) (C);rho(0) (kg/m3); rho(L) (kg/m3);mp(0) (kg/s), mp(L) (kg/s)
2.067874e-02; 1.100000e+00; 1.077312e+00; 0.000000e+00; 5.055933e+00; 2.930000e+02; 2.885895e+02; 1.308107e+00; 1.300706e+00; 0.000000e+00; 5.165002e-02
2.134260e-02; 1.100000e+00; 1.077328e+00; 0.000000e+00; 5.051958e+00; 2.930000e+02; 2.886421e+02; 1.308107e+00; 1.300488e+00; 0.000000e+00; 5.160073e-02
2.200625e-02; 1.100000e+00; 1.077343e+00; 0.000000e+00; 5.047961e+00; 2.930000e+02; 2.886943e+02; 1.308107e+00; 1.300271e+00; 0.000000e+00; 5.155132e-02
2.266979e-02; 1.100000e+00; 1.077358e+00; 0.000000e+00; 5.043950e+00; 2.930000e+02; 2.887459e+02; 1.308107e+00; 1.300057e+00; 0.000000e+00; 5.150188e-02
2.333330e-02; 1.100000e+00; 1.077374e+00; 0.000000e+00; 5.039919e+00; 2.930000e+02; 2.887970e+02; 1.308107e+00; 1.299845e+00; 0.000000e+00; 5.145234e-02
2.399692e-02; 1.100000e+00; 1.077389e+00; 0.000000e+00; 5.035870e+00; 2.930000e+02; 2.888477e+02; 1.308107e+00; 1.299636e+00; 0.000000e+00; 5.140274e-02
2.466076e-02; 1.100000e+00; 1.077405e+00; 0.000000e+00; 5.031801e+00; 2.930000e+02; 2.888978e+02; 1.308107e+00; 1.299429e+00; 0.000000e+00; 5.135303e-02
2.532496e-02; 1.100000e+00; 1.077420e+00; 0.000000e+00; 5.027712e+00; 2.930000e+02; 2.889474e+02; 1.308107e+00; 1.299225e+00; 0.000000e+00; 5.130323e-02
2.598968e-02; 1.100000e+00; 1.077436e+00; 0.000000e+00; 5.023601e+00; 2.930000e+02; 2.889966e+02; 1.308107e+00; 1.299023e+00; 0.000000e+00; 5.125330e-02
2.665437e-02; 1.100000e+00; 1.077452e+00; 1.143101e-02; 5.019472e+00; 2.930000e+02; 2.890453e+02; 1.308107e+00; 1.298823e+00; 1.174405e-04; 5.120330e-02
2.731871e-02; 1.100000e+00; 1.077468e+00; 1.001519e-01; 5.015330e+00; 2.930000e+02; 2.890934e+02; 1.308107e+00; 1.298626e+00; 1.028945e-03; 5.115327e-02
2.798275e-02; 1.100000e+00; 1.077483e+00; 4.339157e-01; 5.011173e+00; 2.930000e+02; 2.891411e+02; 1.308107e+00; 1.298431e+00; 4.457983e-03; 5.110320e-02
2.864650e-02; 1.100000e+00; 1.077500e+00; 1.242568e+00; 5.007000e+00; 2.930000e+02; 2.891884e+02; 1.308107e+00; 1.298238e+00; 1.276595e-02; 5.105306e-02
2.930973e-02; 1.100000e+00; 1.077516e+00; 2.663783e+00; 5.002811e+00; 2.930000e+02; 2.892351e+02; 1.308107e+00; 1.298048e+00; 2.736730e-02; 5.100287e-02
2.995519e-02; 1.100000e+00; 1.077531e+00; 4.556939e+00; 4.998727e+00; 2.930000e+02; 2.892813e+02; 1.308107e+00; 1.297860e+00; 4.681729e-02; 5.095386e-02
3.059079e-02; 1.100000e+00; 1.077548e+00; 6.623259e+00; 4.994699e+00; 2.930000e+02; 2.893271e+02; 1.308107e+00; 1.297674e+00; 6.804634e-02; 5.090550e-02
