t (s); x (mm); v (m/s); mdot (kg/s)
6.590097e-02; 9.722825e+00; +1.733882e-01; +2.746558e+01
6.663320e-02; 9.849409e+00; +1.719129e-01; +2.782316e+01
6.736543e-02; 9.973948e+00; +1.678258e-01; +2.817497e+01
6.809767e-02; 1.000000e+01; -1.290252e-01; +2.824856e+01
6.882990e-02; 9.907455e+00; -1.234493e-01; +2.798713e+01
6.956213e-02; 9.819632e+00; -1.161559e-01; +2.773905e+01
7.029437e-02; 9.737726e+00; -1.073179e-01; +2.750767e+01
7.102660e-02; 9.662799e+00; -9.712640e-02; +2.729602e+01
7.175883e-02; 9.595768e+00; -8.578650e-02; +2.710666e+01
7.249107e-02; 9.537395e+00; -7.351408e-02; +2.694177e+01
7.322330e-02; 9.488282e+00; -6.053189e-02; +2.680303e+01
7.395553e-02; 9.448867e+00; -4.706589e-02; +2.669169e+01
7.468776e-02; 9.419419e+00; -3.334161e-02; +2.660851e+01
7.542000e-02; 9.400048e+00; -1.958071e-02; +2.655379e+01
7.615223e-02; 9.390700e+00; -5.997672e-03; +2.652738e+01
7.688446e-02; 9.391171e+00; +7.203290e-03; +2.652871e+01
7.761670e-02; 9.401109e+00; +1.983102e-02; +2.655679e+01
7.834893e-02; 9.420030e+00; +3.170992e-02; +2.661024e+01
7.908116e-02; 9.447326e+00; +4.268214e-02; +2.668734e+01
7.981340e-02; 9.482281e+00; +5.260940e-02; +2.678609e+01
8.054563e-02; 9.524087e+00; +6.137444e-02; +2.690418e+01
8.127786e-02; 9.571855e+00; +6.888211e-02; +2.703912e+01
8.201009e-02; 9.624638e+00; +7.506007e-02; +2.718823e+01
8.274233e-02; 9.681441e+00; +7.985909e-02; +2.734869e+01
8.347456e-02; 9.741245e+00; +8.325306e-02; +2.751763e+01
8.420679e-02; 9.803019e+00; +8.523852e-02; +2.769213e+01
8.493903e-02; 9.865735e+00; +8.583397e-02; +2.786930e+01
8.567126e-02; 9.928390e+00; +8.507879e-02; +2.804629e+01
8.640349e-02; 9.990014e+00; +8.303192e-02; +2.822037e+01
8.713573e-02; 1.000000e+01; -6.381619e-02; +2.824858e+01
8.786796e-02; 9.954241e+00; -6.102090e-02; +2.811931e+01
8.860019e-02; 9.910844e+00; -5.737798e-02; +2.799672e+01
8.933242e-02; 9.870399e+00; -5.297352e-02; +2.788247e+01
9.006466e-02; 9.833429e+00; -4.790237e-02; +2.777804e+01
9.079689e-02; 9.800385e+00; -4.226642e-02; +2.768469e+01
9.152912e-02; 9.771643e+00; -3.617274e-02; +2.760350e+01
9.226136e-02; 9.747496e+00; -2.973174e-02; +2.753529e+01
9.299359e-02; 9.728159e+00; -2.305535e-02; +2.748067e+01
9.372582e-02; 9.713763e+00; -1.625525e-02; +2.744000e+01
9.445806e-02; 9.704357e+00; -9.441110e-03; +2.741343e+01
9.519029e-02; 9.699914e+00; -2.718989e-03; +2.740088e+01
9.592252e-02; 9.700328e+00; +3.810183e-03; +2.740205e+01
