t (s);p(0) (bar); p(L) (bar);v(0) m/s; v(L) (m/s);T(0) (C); T(L) (C);rho(0) (kg/m3); rho(L) (kg/m3);mp(0) (kg/s), mp(L) (kg/s)
0.000000e+00; 1.000000e+00; 1.000000e+00; 0.000000e+00; 0.000000e+00; 2.930000e+02; 2.930000e+02; 1.189188e+00; 1.189188e+00; 0.000000e+00; 0.000000e+00
7.099377e-04; 1.077519e+00; 1.000000e+00; 1.763177e+01; 0.000000e+00; 2.930000e+02; 2.930000e+02; 1.281373e+00; 1.189188e+00; 7.097761e-03; 0.000000e+00
1.385177e-03; 1.077561e+00; 1.000000e+00; 1.773658e+01; 0.000000e+00; 2.910040e+02; 2.930000e+02; 1.290212e+00; 1.189188e+00; 7.189202e-03; 0.000000e+00
2.056574e-03; 1.077375e+00; 1.000000e+00; 1.766025e+01; 0.000000e+00; 2.896770e+02; 2.930000e+02; 1.295899e+00; 1.189188e+00; 7.189815e-03; 0.000000e+00
2.723646e-03; 1.076902e+00; 1.000000e+00; 1.790149e+01; 0.000000e+00; 2.887933e+02; 2.930000e+02; 1.299293e+00; 1.189188e+00; 7.307121e-03; 0.000000e+00
3.389881e-03; 1.077024e+00; 1.000000e+00; 1.772736e+01; 0.000000e+00; 2.881830e+02; 2.930000e+02; 1.302193e+00; 1.189188e+00; 7.252190e-03; 0.000000e+00
4.055993e-03; 1.076952e+00; 1.000000e+00; 1.772302e+01; 0.000000e+00; 2.878081e+02; 2.930000e+02; 1.303801e+00; 1.189188e+00; 7.259369e-03; 0.000000e+00
4.722383e-03; 1.077011e+00; 1.000000e+00; 1.762618e+01; 0.000000e+00; 2.875728e+02; 2.930000e+02; 1.304940e+00; 1.189188e+00; 7.226010e-03; 0.000000e+00
5.388897e-03; 1.076989e+00; 1.000000e+00; 1.759953e+01; 0.000000e+00; 2.874418e+02; 2.930000e+02; 1.305508e+00; 1.189188e+00; 7.218222e-03; 0.000000e+00
6.054966e-03; 1.077010e+00; 1.000000e+00; 1.754458e+01; 0.000000e+00; 2.873732e+02; 2.930000e+02; 1.305845e+00; 1.189188e+00; 7.197543e-03; 0.000000e+00
6.720606e-03; 1.077014e+00; 1.000000e+00; 1.750664e+01; 0.000000e+00; 2.873496e+02; 2.930000e+02; 1.305957e+00; 1.189188e+00; 7.182598e-03; 0.000000e+00
7.385867e-03; 1.077026e+00; 1.000000e+00; 1.746432e+01; 0.000000e+00; 2.873545e+02; 2.930000e+02; 1.305950e+00; 1.189188e+00; 7.165194e-03; 0.000000e+00
8.050832e-03; 1.077040e+00; 1.000000e+00; 1.742311e+01; 0.000000e+00; 2.873789e+02; 2.930000e+02; 1.305856e+00; 1.189188e+00; 7.147774e-03; 0.000000e+00
8.715616e-03; 1.077051e+00; 1.000000e+00; 1.738500e+01; 0.000000e+00; 2.874162e+02; 2.930000e+02; 1.305699e+00; 1.189188e+00; 7.131284e-03; 0.000000e+00
9.380365e-03; 1.077067e+00; 1.000000e+00; 1.734433e+01; 3.566407e-14; 2.874617e+02; 2.930000e+02; 1.305512e+00; 1.189188e+00; 7.113579e-03; 1.332390e-17
1.004524e-02; 1.077079e+00; 1.000000e+00; 1.730733e+01; 0.000000e+00; 2.875129e+02; 2.930000e+02; 1.305293e+00; 1.189188e+00; 7.097216e-03; 0.000000e+00
