t (s);p(0) (bar); p(L) (bar);v(0) m/s; v(L) (m/s);T(0) (C); T(L) (C);rho(0) (kg/m3); rho(L) (kg/m3);mp(0) (kg/s), mp(L) (kg/s)
0.000000e+00; 1.000000e+00; 1.000000e+00; 0.000000e+00; 0.000000e+00; 2.930000e+02; 2.930000e+02; 1.189188e+00; 1.189188e+00; 0.000000e+00; 0.000000e+00
7.099377e-04; 1.077519e+00; 1.000000e+00; 1.763177e+01; 0.000000e+00; 2.930000e+02; 2.930000e+02; 1.281373e+00; 1.189188e+00; 4.436101e-02; 0.000000e+00
1.385177e-03; 1.077561e+00; 1.000000e+00; 1.773658e+01; 0.000000e+00; 2.910040e+02; 2.930000e+02; 1.290212e+00; 1.189188e+00; 4.493251e-02; 0.000000e+00
2.056574e-03; 1.077375e+00; 1.000000e+00; 1.767587e+01; 0.000000e+00; 2.896770e+02; 2.930000e+02; 1.295899e+00; 1.189188e+00; 4.497609e-02; 0.000000e+00
2.723646e-03; 1.076902e+00; 1.000000e+00; 1.794630e+01; 0.000000e+00; 2.887933e+02; 2.930000e+02; 1.299293e+00; 1.189188e+00; 4.578383e-02; 0.000000e+00
3.389881e-03; 1.077024e+00; 1.000000e+00; 1.780501e+01; 0.000000e+00; 2.881830e+02; 2.930000e+02; 1.302193e+00; 1.189188e+00; 4.552474e-02; 0.000000e+00
4.055993e-03; 1.076952e+00; 1.000000e+00; 1.783320e+01; 0.000000e+00; 2.878081e+02; 2.930000e+02; 1.303801e+00; 1.189188e+00; 4.565312e-02; 0.000000e+00
4.722383e-03; 1.077011e+00; 1.000000e+00; 1.776774e+01; 0.000000e+00; 2.875728e+02; 2.930000e+02; 1.304940e+00; 1.189188e+00; 4.552528e-02; 0.000000e+00
5.388897e-03; 1.076989e+00; 1.000000e+00; 1.777221e+01; 0.000000e+00; 2.874418e+02; 2.930000e+02; 1.305508e+00; 1.189188e+00; 4.555654e-02; 0.000000e+00
6.054966e-03; 1.077010e+00; 1.000000e+00; 1.774810e+01; 0.000000e+00; 2.873732e+02; 2.930000e+02; 1.305845e+00; 1.189188e+00; 4.550649e-02; 0.000000e+00
6.720606e-03; 1.077014e+00; 1.000000e+00; 1.774064e+01; 0.000000e+00; 2.873496e+02; 2.930000e+02; 1.305957e+00; 1.189188e+00; 4.549125e-02; 0.000000e+00
7.385867e-03; 1.077026e+00; 1.000000e+00; 1.772868e+01; 0.000000e+00; 2.873545e+02; 2.930000e+02; 1.305950e+00; 1.189188e+00; 4.546034e-02; 0.000000e+00
8.050832e-03; 1.077040e+00; 1.000000e+00; 1.771736e+01; 0.000000e+00; 2.873789e+02; 2.930000e+02; 1.305856e+00; 1.189188e+00; 4.542804e-02; 0.000000e+00
8.715616e-03; 1.077051e+00; 1.000000e+00; 1.770902e+01; 0.000000e+00; 2.874162e+02; 2.930000e+02; 1.305699e+00; 1.189188e+00; 4.540123e-02; 0.000000e+00
9.380365e-03; 1.077067e+00; 1.000000e+00; 1.769770e+01; 3.566407e-14; 2.874617e+02; 2.930000e+02; 1.305512e+00; 1.189188e+00; 4.536568e-02; 8.327435e-17
1.004524e-02; 1.077079e+00; 1.000000e+00; 1.768989e+01; 0.000000e+00; 2.875129e+02; 2.930000e+02; 1.305293e+00; 1.189188e+00; 4.533808e-02; 0.000000e+00
1.071044e-02; 1.077094e+00; 1.000000e+00; 1.767926e+01; 0.000000e+00; 2.875674e+02; 2.930000e+02; 1.305065e+00; 1.189188e+00; 4.530293e-02; 0.000000e+00
1.137611e-02; 1.077107e+00; 1.000000e+00; 1.767104e+01; 3.566407e-14; 2.876242e+02; 2.930000e+02; 1.304823e+00; 1.189188e+00; 4.527345e-02; 8.327435e-17
1.204142e-02; 1.077122e+00; 1.000000e+00; 1.766100e+01; 3.566407e-14; 2.876821e+02; 2.930000e+02; 1.304578e+00; 1.189188e+00; 4.523926e-02; 8.327435e-17
1.270636e-02; 1.077136e+00; 1.000000e+00; 1.765238e+01; 3.566407e-14; 2.877408e+02; 2.930000e+02; 1.304329e+00; 1.189188e+00; 4.520852e-02; 8.327435e-17
1.337097e-02; 1.077151e+00; 1.000000e+00; 1.764280e+01; 0.000000e+00; 2.877997e+02; 2.930000e+02; 1.304080e+00; 1.189188e+00; 4.517537e-02; 0.000000e+00
1.403529e-02; 1.077165e+00; 1.000000e+00; 1.763381e+01; 0.000000e+00; 2.878586e+02; 2.930000e+02; 1.303830e+00; 1.189188e+00; 4.514369e-02; 0.000000e+00
1.469940e-02; 1.077179e+00; 1.000000e+00; 1.762434e+01; 3.566407e-14; 2.879173e+02; 2.930000e+02; 1.303582e+00; 1.189188e+00; 4.511084e-02; 8.327435e-17
1.536336e-02; 1.077194e+00; 1.000000e+00; 1.761502e+01; 3.566407e-14; 2.879757e+02; 2.930000e+02; 1.303335e+00; 1.189188e+00; 4.507846e-02; 8.327435e-17
1.602730e-02; 1.077208e+00; 1.000000e+00; 1.760548e+01; 7.132814e-14; 2.880338e+02; 2.930000e+02; 1.303090e+00; 1.189188e+00; 4.504558e-02; 1.665487e-16
1.669135e-02; 1.077223e+00; 1.000000e+00; 1.759590e+01; 0.000000e+00; 2.880914e+02; 2.930000e+02; 1.302847e+00; 1.189188e+00; 4.501268e-02; 0.000000e+00
1.735563e-02; 1.077238e+00; 1.000000e+00; 1.758620e+01; 3.566407e-14; 2.881485e+02; 2.930000e+02; 1.302606e+00; 1.189188e+00; 4.497956e-02; 8.327435e-17
1.802032e-02; 1.077252e+00; 1.000000e+00; 1.757638e+01; 0.000000e+00; 2.882052e+02; 2.930000e+02; 1.302368e+00; 1.189188e+00; 4.494621e-02; 0.000000e+00
1.868544e-02; 1.077267e+00; 1.000000e+00; 1.756647e+01; 0.000000e+00; 2.882614e+02; 2.930000e+02; 1.302132e+00; 1.189188e+00; 4.491274e-02; 0.000000e+00
1.935020e-02; 1.077282e+00; 1.000000e+00; 1.755645e+01; 3.566407e-14; 2.883171e+02; 2.930000e+02; 1.301899e+00; 1.189188e+00; 4.487906e-02; 8.327435e-17
2.001463e-02; 1.077297e+00; 1.000000e+00; 1.754640e+01; 1.069922e-13; 2.883723e+02; 2.930000e+02; 1.301668e+00; 1.189188e+00; 4.484541e-02; 2.498231e-16
